sale_date,store_id,sku,quantity,unit_price,total_amount
2025-07-02,S001,SKU0029,7,89.18,624.26
2025-07-02,S001,SKU0021,7,56.27,393.89000000000004
2025-07-02,S001,SKU0023,3,57.81,173.43
2025-07-02,S001,SKU0036,3,7.37,22.11
2025-07-02,S001,SKU0002,4,112.93,451.72
2025-07-02,S001,SKU0002,4,26.09,104.36
2025-07-02,S001,SKU0012,2,65.35,130.7
2025-07-02,S001,SKU0044,1,38.49,38.49
2025-07-02,S001,SKU0042,4,116.98,467.92
2025-07-02,S001,SKU0015,6,15.42,92.52
2025-07-02,S001,SKU0044,7,118.07,826.49
2025-07-02,S002,SKU0003,5,74.87,374.35
2025-07-02,S002,SKU0021,1,12.48,12.48
2025-07-02,S002,SKU0004,1,116.05,116.05
2025-07-02,S002,SKU0050,2,40.03,80.06
2025-07-02,S002,SKU0002,4,32.72,130.88
2025-07-02,S002,SKU0007,4,61.95,247.8
2025-07-02,S002,SKU0047,3,109.57,328.71
2025-07-02,S002,SKU0036,2,81.19,162.38
2025-07-02,S002,SKU0002,6,64.81,388.86
2025-07-02,S002,SKU0042,4,26.26,105.04
2025-07-02,S002,SKU0018,2,56.72,113.44
2025-07-02,S002,SKU0010,6,111.57,669.42
2025-07-02,S002,SKU0031,7,15.18,106.25999999999999
2025-07-02,S003,SKU0040,5,49.7,248.5
2025-07-02,S003,SKU0018,7,100.3,702.1
2025-07-02,S003,SKU0026,1,37.31,37.31
2025-07-02,S003,SKU0045,1,39.07,39.07
2025-07-02,S003,SKU0045,1,6.8,6.8
2025-07-02,S003,SKU0009,1,27.85,27.85
2025-07-02,S003,SKU0024,7,98.78,691.46
2025-07-02,S003,SKU0017,3,95.87,287.61
2025-07-02,S003,SKU0005,2,46.22,92.44
2025-07-02,S003,SKU0041,4,104.26,417.04
2025-07-02,S003,SKU0008,4,43.05,172.2
2025-07-02,S004,SKU0023,6,42.4,254.39999999999998
2025-07-02,S004,SKU0035,4,78.32,313.28
2025-07-02,S004,SKU0027,3,59.3,177.89999999999998
2025-07-02,S004,SKU0037,7,87.02,609.14
2025-07-02,S004,SKU0001,5,69.55,347.75
2025-07-02,S004,SKU0014,7,9.65,67.55
2025-07-02,S004,SKU0015,7,17.75,124.25
2025-07-02,S004,SKU0013,3,8.61,25.83
2025-07-02,S004,SKU0039,1,41.15,41.15
2025-07-02,S004,SKU0032,4,109.37,437.48
2025-07-02,S004,SKU0023,7,52.19,365.33
2025-07-02,S005,SKU0013,7,38.32,268.24
2025-07-02,S005,SKU0022,4,111.92,447.68
2025-07-02,S005,SKU0045,6,77.84,467.04
2025-07-02,S005,SKU0006,4,97.42,389.68
2025-07-02,S005,SKU0044,4,107.64,430.56
2025-07-02,S005,SKU0011,2,19.04,38.08
2025-07-02,S005,SKU0025,7,109.29,765.0300000000001
2025-07-02,S005,SKU0001,1,79.48,79.48
2025-07-02,S006,SKU0013,1,40.05,40.05
2025-07-02,S006,SKU0006,3,53.0,159.0
2025-07-02,S006,SKU0037,1,18.78,18.78
2025-07-02,S006,SKU0044,7,24.35,170.45000000000002
2025-07-02,S006,SKU0032,1,51.44,51.44
2025-07-02,S006,SKU0049,2,115.68,231.36
2025-07-02,S006,SKU0039,2,86.91,173.82
2025-07-02,S006,SKU0037,1,119.74,119.74
2025-07-02,S006,SKU0049,2,62.81,125.62
2025-07-02,S006,SKU0023,5,44.68,223.4
2025-07-02,S006,SKU0001,3,83.28,249.84
2025-07-02,S006,SKU0044,2,118.35,236.7
2025-07-02,S006,SKU0032,7,82.3,576.1
2025-07-02,S007,SKU0017,7,97.36,681.52
2025-07-02,S007,SKU0005,4,118.09,472.36
2025-07-02,S007,SKU0022,3,98.89,296.67
2025-07-02,S007,SKU0016,1,22.33,22.33
2025-07-02,S007,SKU0006,5,103.71,518.55
2025-07-02,S007,SKU0036,3,86.78,260.34000000000003
2025-07-02,S007,SKU0019,4,79.19,316.76
2025-07-02,S007,SKU0041,1,50.72,50.72
2025-07-02,S007,SKU0039,2,101.34,202.68
2025-07-02,S007,SKU0011,4,89.55,358.2
2025-07-02,S007,SKU0050,7,67.27,470.89
2025-07-02,S007,SKU0042,3,31.28,93.84
2025-07-02,S008,SKU0048,1,64.41,64.41
2025-07-02,S008,SKU0049,2,119.57,239.14
2025-07-02,S008,SKU0012,5,108.55,542.75
2025-07-02,S008,SKU0009,1,45.16,45.16
2025-07-02,S008,SKU0048,3,103.48,310.44
2025-07-02,S008,SKU0033,4,14.68,58.72
2025-07-02,S008,SKU0008,4,108.33,433.32
2025-07-02,S008,SKU0020,6,6.06,36.36
2025-07-02,S008,SKU0025,3,116.97,350.90999999999997
2025-07-02,S008,SKU0018,6,68.1,408.59999999999997
2025-07-02,S008,SKU0035,5,30.79,153.95
2025-07-02,S008,SKU0033,4,32.28,129.12
2025-07-02,S008,SKU0021,4,47.14,188.56
2025-07-02,S008,SKU0008,7,87.91,615.37
2025-07-02,S009,SKU0048,4,63.51,254.04
2025-07-02,S009,SKU0022,7,33.8,236.59999999999997
2025-07-02,S009,SKU0030,6,117.57,705.42
2025-07-02,S009,SKU0008,3,54.96,164.88
2025-07-02,S009,SKU0021,6,79.19,475.14
2025-07-02,S010,SKU0005,4,88.08,352.32
2025-07-02,S010,SKU0019,4,7.8,31.2
2025-07-02,S010,SKU0049,1,119.37,119.37
2025-07-02,S010,SKU0030,5,37.15,185.75
2025-07-02,S010,SKU0006,3,90.99,272.96999999999997
2025-07-03,S001,SKU0024,5,54.24,271.2
2025-07-03,S001,SKU0031,3,117.74,353.21999999999997
2025-07-03,S001,SKU0021,7,35.87,251.08999999999997
2025-07-03,S001,SKU0003,2,69.03,138.06
2025-07-03,S001,SKU0031,6,85.04,510.24
2025-07-03,S001,SKU0040,6,16.18,97.08
2025-07-03,S001,SKU0032,7,118.86,832.02
2025-07-03,S001,SKU0002,7,64.61,452.27
2025-07-03,S001,SKU0002,2,90.19,180.38
2025-07-03,S002,SKU0009,3,86.52,259.56
2025-07-03,S002,SKU0039,5,39.1,195.5
2025-07-03,S002,SKU0026,3,34.46,103.38
2025-07-03,S002,SKU0024,5,14.38,71.9
2025-07-03,S002,SKU0007,1,77.21,77.21
2025-07-03,S003,SKU0001,6,96.52,579.12
2025-07-03,S003,SKU0012,3,43.87,131.60999999999999
2025-07-03,S003,SKU0028,2,15.81,31.62
2025-07-03,S003,SKU0023,7,9.13,63.910000000000004
